start,end,sequence,rank,hardness
those,where,those these theme there where,0.3526727509778357,3
these,whole,these there where whore whole,0.3228039982616253,3
wheal,there,wheal wheel wheee where there,0.22906214689265533,3
therm,wheel,therm there where wheee wheel,0.22539939156888308,3
thyme,wheee,thyme theme there where wheee,0.22422598870056495,3
whine,shale,whine white while whale shale,0.21146110386788353,3
world,hound,world would wound round hound,0.19022164276401568,3
which,slush,which whish shish shush slush,0.1853489787049109,4
whore,shall,whore whole whale shale shall,0.17911516731855717,4
shady,while,shady shade shale whale while,0.16856671012603217,4
whale,scarp,whale shale share sharp scarp,0.1238348544111256,4
sighs,eight,sighs sight light might eight,0.09452411994784876,2
thine,thick,thine thins thing think thick,0.09229552368535418,2
white,shiny,white while whine whiny shiny,0.09099174272055628,3
ether,muter,ether other otter outer muter,0.08824163407214254,3
thing,chine,thing thine think chink chine,0.08642850934376357,2
thanx,thing,thanx thane thank think thing,0.08328726640591047,2
whole,shiny,whole while whine whiny shiny,0.07365145588874403,4
seine,whole,seine shine whine while whole,0.07352107779226422,4
charm,those,charm chasm chase chose those,0.06245110821382007,4
treat,greed,treat great greet green greed,0.06230856149500218,3
among,atone,among along alone agone atone,0.05970099956540635,2
think,crick,think thick chick click crick,0.05632333767926988,3
dread,great,dread tread treap treat great,0.055920034767492396,2
great,dread,great treat treap tread dread,0.055920034767492396,2
heirs,beard,heirs hears heart heard beard,0.05541069100391134,3
groan,tread,groan groat great treat tread,0.054616253802694484,3
ender,after,ender enter ester aster after,0.05446153846153845,3
stale,swill,stale stile still skill swill,0.05409474141677532,3
spill,shell,spill skill still shill shell,0.05383398522381573,2
child,while,child chill chili chile while,0.052269448066058224,2
while,chill,while chile child chili chill,0.052269448066058224,2
alder,ester,alder alter after aster ester,0.052245110821382,3
newer,giver,newer never fever fiver giver,0.05189048239895697,3
chunk,thick,chunk thunk thank think thick,0.051475010864841374,3
pound,mould,pound bound round mound mould,0.05044415471534116,2
group,greet,group grout groat great greet,0.05043198609300305,3
triad,great,triad tread treap treat great,0.05043198609300305,3
tread,groat,tread treap treat great groat,0.05043198609300305,3
bigot,tight,bigot bight sight night tight,0.04992264232942199,2
still,shack,still stall stalk stack shack,0.048476314645806186,4
twill,stalk,twill swill still stall stalk,0.048476314645806165,4
shell,stall,shell shill swill still stall,0.04834593654932638,2
hoard,hears,hoard board beard heard hears,0.04771838331160365,2
trite,shine,trite write white whine shine,0.047588005215123866,3
where,wheat,where wheee wheel wheal wheat,0.04744545849630595,2
atilt,shill,atilt stilt still skill shill,0.046378096479791395,3
treap,gloat,treap treat great groat gloat,0.04611734028683182,4
throb,shrew,throb throe three threw shrew,0.04560799652325077,3
being,wrong,being bring brung wrung wrong,0.04496827466318992,3
whiny,think,whiny whine thine thins think,0.04482572794437201,2
china,think,china chino chine chink think,0.04482572794437201,2
fewer,sever,fewer newer never lever sever,0.044173837461973064,2
thong,dying,thong thing tying lying dying,0.04327335940895263,3
fount,hound,fount found bound wound hound,0.04236071273359408,2
dwell,shall,dwell swell smell shell shall,0.04211212516297262,3
thane,think,thane thanx thank thunk think,0.041814863102998694,2
count,bound,count fount found pound bound,0.041578444154715344,2
whorl,wheel,whorl whore where wheee wheel,0.03972881355932202,2
stall,shift,stall shall shalt shaft shift,0.03911342894393742,4
twins,dying,twins thins thing tying dying,0.037927857453281186,3
bries,tried,bries dries cries cried tried,0.03778531073446327,2
whirs,whine,whirs whips whits white whine,0.03765493263798349,2
sever,lacer,sever never lever laver lacer,0.03658757062146893,3
creek,tried,creek creel creed cried tried,0.03569926119078661,3
shawl,chill,shawl shall shell shill chill,0.03518991742720557,3
shawm,shaft,shawm shawl shall shalt shaft,0.034929161234245984,2
youse,worst,youse house horse worse worst,0.03375575836592786,3
gorge,house,gorge gorse worse horse house,0.033495002172968275,3
heard,beans,heard hears pears bears beans,0.03270056497175142,3
going,tying,going doing dying vying tying,0.03258235549760974,2
wrier,pried,wrier trier tried cried pried,0.03203650586701434,2
trend,cried,trend treed trued tried cried,0.03203650586701434,3
heerd,reals,heerd heard hears rears reals,0.030744893524554544,4
hoagy,heard,hoagy hoary hoars hoard heard,0.02996262494567579,3
fried,braes,fried cried cries bries braes,0.02944111255975663,3
dowse,mouse,dowse douse house youse mouse,0.02826770969143851,2
begun,begot,begun begin began begat begot,0.02645458496305954,2
lease,means,lease least leant meant means,0.025933072577140375,3
quick,suite,quick quirk quire quite suite,0.025660147761842677,3
weave,least,weave leave lease leash least,0.023977401129943503,3
waves,hater,waves waver wafer water hater,0.023574098218166015,3
learn,gears,learn yearn years rears gears,0.02345588874402434,2
bends,lands,bends bunds bands hands lands,0.023313342025206428,2
trick,blank,trick track brack black blank,0.023076923076923075,4
teals,gears,teals tears rears years gears,0.02267362016514559,2
storm,stoke,storm story store stone stoke,0.02242503259452412,2
besot,night,besot begot bigot bight night,0.02225814863102999,4
hemps,heart,hemps heaps heads hears heart,0.022152107779226427,3
smith,quire,smith smite suite quite quire,0.021891351586266837,4
stoop,spoon,stoop stood stool spool spoon,0.021642764015645372,2
fords,forth,fords words worts worth forth,0.021488048674489352,2
heaps,gears,heaps hears years nears gears,0.021109083007388094,2
adder,enter,adder udder under ender enter,0.02108474576271186,3
floor,blind,floor flood blood blond blind,0.020860495436766623,4
dries,cried,dries bries brier crier cried,0.020029552368535417,2
begot,light,begot bigot bight fight light,0.019662755323772273,3
daisy,fairy,daisy daily dairy hairy fairy,0.01942633637548892,2
place,tench,place peace peach teach tench,0.019141242937853107,4
quire,skits,quire quite suite suits skits,0.018619730551933937,4
heave,heeds,heave heavy heady heads heeds,0.018383311603650587,3
yearn,nears,yearn years fears wears nears,0.018228596262494564,2
smite,quirk,smite suite quite quire quirk,0.01822859626249456,4
suety,quite,suety suets suits quits quite,0.01822859626249456,3
forty,worth,forty forte forth north worth,0.01811038678835289,2
suite,quids,suite quite quits quips quids,0.018098218166014774,3
blond,flour,blond blood flood floor flour,0.01786179921773142,3
known,showy,known knows snows snowy showy,0.017719252498913513,3
shown,shift,shown shorn short shirt shift,0.017470664928292044,3
meant,cease,meant leant least lease cease,0.017328118209474143,3
beady,leave,beady heady heavy heave leave,0.01706736201651456,3
clone,chase,clone clove close chose chase,0.016806605823554973,3
south,couch,south youth mouth couth couch,0.016545849630595393,2
joint,drink,joint point print prink drink,0.01654584963059539,3
harsh,watch,harsh marsh march match watch,0.016427640156453715,3
outer,waver,outer muter mater water waver,0.01613037809647979,3
water,outer,water tater cater cuter outer,0.01613037809647979,2
brood,bleak,brood broad bread break bleak,0.015906127770534552,4
dived,gives,dived diver giver given gives,0.01577574967405476,2
whose,shore,whose chose choke chore shore,0.015763581051716647,2
doily,fairy,doily daily daisy dairy fairy,0.015502824858757064,3
gayly,dairy,gayly gaily daily daisy dairy,0.015372446762277272,3
coals,boars,coals goals goats boats boars,0.015111690569317687,2
board,meats,board boars boats moats meats,0.015087353324641459,4
seems,peeps,seems stems steps seeps peeps,0.014969143850499782,2
under,aider,under udder adder alder aider,0.014944806605823554,2
smoky,stone,smoky smoke stoke stove stone,0.01486310299869622,3
sleep,steak,sleep steep steel steal steak,0.014732724902216426,3
assed,ached,assed asked acked acted ached,0.014708387657540201,2
mouth,sooth,mouth couth youth south sooth,0.014459800086918734,2
worth,fords,worth north forth forts fords,0.014459800086918731,3
feast,teach,feast least leash leach teach,0.01432942199043894,3
cargo,mange,cargo largo large marge mange,0.014186875271621033,3
quota,quirt,quota quote quite quire quirt,0.014174706649282914,3
above,amide,above abode abide aside amide,0.014068665797479358,3
wakes,oaken,wakes takes taken waken oaken,0.014068665797479358,2
stock,story,stock stork storm store story,0.014068665797479358,2
flout,blood,flout flour floor flood blood,0.014068665797479358,3
quids,quirk,quids quits quite quire quirk,0.014044328552803123,2
black,aleck,black block flock fleck aleck,0.01392611907866145,2
token,roman,token woken women woman roman,0.013807909604519775,3
yeast,beaux,yeast least beast beaut beaux,0.013807909604519775,3
dhows,short,dhows shows shown shorn short,0.013807909604519775,3
swift,shoat,swift shift shirt short shoat,0.013807909604519771,3
corks,sorts,corks forks works worts sorts,0.01379574098218166,2
pared,water,pared paved paver waver water,0.013653194263363755,3
wader,mater,wader wafer water dater mater,0.013522816166883962,2
jaded,pater,jaded waded wader water pater,0.01339243807040417,3
print,skint,print point paint saint skint,0.013286397218600605,2
pears,reals,pears years wears weals reals,0.013262059973924378,2
leans,leach,leans leant least leash leach,0.013025641025641027,2
rover,tower,rover lover lower bower tower,0.012777053455019557,2
words,goads,words woods moods goods goads,0.012764884832681442,2
close,globs,close clove glove globe globs,0.012634506736201648,3
order,aided,order odder adder added aided,0.012622338113863537,3
twain,drawn,twain train grain drain drawn,0.012516297262059975,3
lined,gives,lined linen liven given gives,0.012373750543242069,3
birch,worth,birch birth firth forth worth,0.012373750543242069,3
spoke,stone,spoke stoke stole stoae stone,0.012373750543242069,2
johns,print,johns joins joint point print,0.012373750543242069,4
ashes,askew,ashes asses assed asked askew,0.012349413298565846,2
blood,broom,blood bloom gloom groom broom,0.012125162972620599,2
emote,stoke,emote smote smoke spoke stoke,0.012112994350282487,3
colds,goods,colds wolds words woods goods,0.012112994350282486,2
moist,point,moist foist joist joint point,0.011982616253802692,2
groin,drawn,groin grain train drain drawn,0.011864406779661017,3
slain,stank,slain stain staid stand stank,0.011852238157322902,3
means,tears,means beans beads bears tears,0.011721860060843112,2
hoary,bears,hoary hoard board beard bears,0.011603650586701434,3
boars,costs,boars boats moats coats costs,0.011579313342025206,3
drive,prosy,drive drove prove prose prosy,0.01146110386788353,4
worms,fords,worms works corks cords fords,0.011448935245545414,2
sleek,sheep,sleek sleep sweep steep sheep,0.011342894393741849,2
cords,loams,cords words lords loads loams,0.011330725771403736,3
steed,sleet,steed steep sleep sleek sleet,0.01121251629726206,2
swear,speck,swear smear spear speak speck,0.011200347674923946,3
skirt,shoat,skirt shirt short shout shoat,0.011200347674923944,3
dutch,watch,dutch hutch hatch match watch,0.011069969578444156,2
beaut,boats,beaut beaus beams beats boats,0.011057800956106041,3
needy,deems,needy needs seeds seems deems,0.01105780095610604,3
stout,sport,stout spout snout snort sport,0.010951760104302478,2
sweet,steep,sweet skeet sleet sleep steep,0.01080921338548457,2
spent,stone,spent scent scene scone stone,0.010678835289004781,3
stern,plain,stern stein stain slain plain,0.01054845719252499,4
stead,speak,stead steam steal steak speak,0.010157322903085615,2
scone,state,scone stone stoke stake state,0.010157322903085615,3
large,purge,large sarge serge surge purge,0.010132985658409385,2
steak,shear,steak speak spear smear shear,0.010026944806605823,2
loose,noise,loose goose moose noose noise,0.009908735332464147,2
meaty,meant,meaty mealy meals means meant,0.009896566710126033,2
spore,stoke,spore spare spake spoke stoke,0.009896566710126033,2
globe,trove,globe glove grove drove trove,0.009778357235984355,3
